train_acc,train_sensitividade,train_especificidade,train_f1Score,train_loss,validation_acc,validation_sensitividade,validation_especificidade,validation_f1Score,valid_loss
0.5299539170506913,0.5277777777777778,0.5321100917431193,0.5277777777777778,0.6847440248810202,0.42,0.0,0.84,0.0,0.7510264039039611
0.5483870967741935,0.7685185185185185,0.3302752293577982,0.6287878787878788,0.6840062731971389,0.54,0.56,0.52,0.5490196078431373,0.6901937961578369
0.5622119815668203,0.21296296296296297,0.908256880733945,0.3262411347517731,0.6688227307411932,0.5,0.8,0.2,0.6153846153846154,0.7110216617584229
0.6129032258064516,0.8425925925925926,0.3853211009174312,0.6842105263157895,0.6599011759054826,0.54,0.4,0.68,0.46511627906976744,0.7068069219589234
0.6589861751152074,0.6018518518518519,0.7155963302752294,0.6372549019607844,0.6474910015884083,0.5,0.44,0.56,0.46808510638297873,0.7050675511360168
0.6451612903225806,0.6666666666666666,0.6238532110091743,0.6515837104072398,0.6456726827929097,0.52,0.64,0.4,0.5714285714285714,0.7162797451019287
0.6912442396313364,0.7037037037037037,0.6788990825688074,0.6940639269406392,0.624246357498081,0.48,0.32,0.64,0.38095238095238104,0.7141909599304199
0.6728110599078341,0.5462962962962963,0.7981651376146789,0.6243386243386243,0.6160969882516817,0.52,0.6,0.44,0.5555555555555556,0.718962562084198
0.7188940092165899,0.7777777777777778,0.6605504587155964,0.7336244541484717,0.6164087686121189,0.5,0.6,0.4,0.5454545454545454,0.7253269195556641
0.7188940092165899,0.6388888888888888,0.7981651376146789,0.6934673366834171,0.6024066108163051,0.52,0.64,0.4,0.5714285714285714,0.7330836653709412
0.7695852534562212,0.7777777777777778,0.7614678899082569,0.7706422018348624,0.6000208703603612,0.48,0.6,0.36,0.5357142857142857,0.7344408154487609
0.783410138248848,0.7870370370370371,0.7798165137614679,0.7834101382488479,0.5760965635699611,0.44,0.4,0.48,0.41666666666666663,0.7371186017990112
0.7096774193548387,0.6203703703703703,0.7981651376146789,0.6802030456852791,0.5915695459062603,0.5,0.68,0.32,0.576271186440678,0.7419081687927246
0.7004608294930875,0.7870370370370371,0.6146788990825688,0.723404255319149,0.5957844911083099,0.46,0.52,0.4,0.49056603773584906,0.7447641849517822
0.728110599078341,0.6574074074074074,0.7981651376146789,0.7064676616915422,0.5780726657485082,0.5,0.6,0.4,0.5454545454545454,0.7464274883270263
0.7695852534562212,0.7685185185185185,0.7706422018348624,0.7685185185185186,0.5633319860779196,0.5,0.64,0.36,0.5614035087719298,0.75580974817276
0.695852534562212,0.6851851851851852,0.7064220183486238,0.6915887850467289,0.5853708056810265,0.5,0.6,0.4,0.5454545454545454,0.7529136180877686
0.6589861751152074,0.8703703703703703,0.44954128440366975,0.7175572519083969,0.5931244969093306,0.4,0.24,0.56,0.28571428571428564,0.7603433966636658
0.6912442396313364,0.4722222222222222,0.908256880733945,0.6035502958579883,0.5739628936288543,0.48,0.68,0.28,0.5666666666666667,0.7600974202156067
0.7511520737327189,0.9074074074074074,0.5963302752293578,0.784,0.5644003163834321,0.46,0.44,0.48,0.4489795918367347,0.7547269344329834
0.7419354838709677,0.6018518518518519,0.8807339449541285,0.6989247311827957,0.5637117563854165,0.48,0.52,0.44,0.5,0.7620396494865418
0.7511520737327189,0.8240740740740741,0.6788990825688074,0.767241379310345,0.5614478818831905,0.5,0.68,0.32,0.576271186440678,0.7679900050163269
0.7649769585253456,0.6851851851851852,0.8440366972477065,0.743718592964824,0.5451922210680175,0.5,0.64,0.36,0.5614035087719298,0.7638729572296142
0.7880184331797235,0.8148148148148148,0.7614678899082569,0.7927927927927928,0.5332030236446363,0.48,0.6,0.36,0.5357142857142857,0.771319854259491
0.7603686635944701,0.6944444444444444,0.8256880733944955,0.7425742574257426,0.5398673167975817,0.44,0.44,0.44,0.44,0.7675187945365906
0.7741935483870968,0.8333333333333334,0.7155963302752294,0.7860262008733625,0.5375464333367238,0.48,0.52,0.44,0.5,0.7669910550117492
0.7649769585253456,0.7962962962962963,0.7339449541284404,0.7713004484304933,0.5537891058328515,0.46,0.76,0.16,0.5846153846153846,0.7850584864616394
0.7972350230414746,0.7777777777777778,0.8165137614678899,0.7924528301886792,0.5240383260810431,0.44,0.44,0.44,0.44,0.7754096865653992
0.7788018433179723,0.7870370370370371,0.7706422018348624,0.779816513761468,0.5307910331108603,0.46,0.48,0.44,0.47058823529411764,0.7738532543182373
0.8064516129032258,0.7777777777777778,0.8348623853211009,0.7999999999999999,0.5148488450709576,0.52,0.68,0.36,0.5862068965517241,0.7854929685592651
